source_drawing_code,internal_factory_part_number,source_product_identifier,resolved_product_id,template_type,status,confidence,notes
PD014736,1LAX0091C2U004MAAP,840-00083,,erro_01,READY,HIGH,
PD014736,1LAX0091C2U004MAAQ,840-00083,,erro_01,READY,HIGH,
PD014736,1LAX0091C2U004MAAR,840-00083,,erro_01,READY,HIGH,Trang thai: phe bo tren drawing
PD014736,1LAX0091C2U004MAAS,840-00083,,erro_01,READY,HIGH,
PD014736,1LAX0091C2U005MAA,840-00083,,erro_01,READY,HIGH,
PD014736,1LAX0091C2U005MAAP,840-00083,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U003MAA,840-00091,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U003MAAB,840-00091,,erro_01,READY,HIGH,Trang thai: phe bo tren drawing
PD014736,1LAE0091C2U003MAAP,840-00091,,erro_01,READY,HIGH,Trang thai: phe bo tren drawing
PD014736,1LAE0091C2U003MAAS,840-00091,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U004MAA,840-00091,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U012MAAR,840-00091,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U005MAA,840-00092,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U005MAAP,840-00092,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U005MAAS,840-00092,,erro_01,READY,HIGH,
PD014736,1LAE0091C2U011MAAR,840-00092,,erro_01,READY,HIGH,
PD014736,1CAD2076D2BK02A11W,YW1R-06J80-8M9,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAD3212C2XX02A11,B377.00690.005,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAD3227C2XX02A11,B377.00691.005,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAU0010D2BK10M22,310-50027-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAU0010D2XX01M22,310-50024-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAU0010D2XX01M22P,310-50024-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1CAU10D2XX01M22A,310-50024-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1LA63020D2U001A11C,312-10146-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1LA63020D2U001A11P,312-10146-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1LA63020D2U002A11,312-10146-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1LA63020D2U002A11C,312-10146-01,,erro_01,MISSING_PRODUCT,LOW,Product chua tao trong catalog
PD014736,1LAE0091C2U012MAA,2M21-00508-0005H,,erro_01,MISSING_PRODUCT,LOW,Product 2M21-00508-0005H chua tao trong catalog
PD027504,1LA90003F2U001MAA,G112C1B,,erro_02,READY,HIGH,
PD027504,1LAE0009D2U002MAA,G112C1B,,erro_02,READY,HIGH,
PD027504,1LAE0003F2U001MAA,G012C1B,,erro_02,READY,HIGH,
PD027504,1LAE0009D2U001MAA,G012C1B,,erro_02,READY,HIGH,
PD027504,1LAE0009D2U004MAAP,G012C1B,,erro_02,READY,HIGH,Trang thai: phe bo tren drawing
PD027504,1LAE0009D2U004MAAQ,G012C1B,,erro_02,READY,HIGH,
PD027504,1LAE0009D2U004MAAR,G012C1B,,erro_02,READY,HIGH,
PD027504,1LAE0009D2U004MAAS,G012C1B,,erro_02,READY,HIGH,Trang thai: phe bo tren drawing
PD027504,1LAE0009D2U004MAAV,G012C1B,,erro_02,READY,HIGH,Trang thai: phe bo tren drawing
PD027504,1LAE0091C2U008MAA,2M21-00508-0001H,,erro_02,MISSING_PRODUCT,LOW,Product 2M21-00508-0001H chua tao trong catalog
PD027504,1LAE0091C2U008MAAP,2M21-00508-0001H,,erro_02,MISSING_PRODUCT,LOW,Product 2M21-00508-0001H chua tao trong catalog
PD024364,1LAE0091C2U006NME,2M21-00508-0004H,,erro_03,READY,HIGH,
PD024364,1LAE0091C2U006NMEB,2M21-00508-0004H,,erro_03,READY,HIGH,
PD024364,1LAE0091C2U006NMEP,2M21-00508-0004H,,erro_03,READY,HIGH,
PD024364,1LAE0091C2U009NMEA,2M21-00508-0004H,,erro_03,READY,HIGH,
